"No.","Time","Source","Destination","Protocol","Length","Info"
"35","2.643176","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=26193 Ack=857 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"36","2.644653","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=27653 Ack=857 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"37","2.644666","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=857 Ack=29113 Win=13140 Len=0"
"38","2.653198","192.168.1.164","142.104.5.64","TCP","54","[TCP Window Update] 1200  >  80 [ACK] Seq=857 Ack=29113 Win=17520 Len=0"
"39","2.654450","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=29113 Ack=857 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"40","2.658101","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=30573 Ack=857 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"41","2.658127","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=857 Ack=32033 Win=17520 Len=0"
"42","2.659628","142.104.5.64","192.168.1.164","HTTP","544","HTTP/1.1 200 OK  (text/html)"
"43","2.669554","192.168.1.164","142.104.5.64","TCP","62","1201  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM"
"44","2.682610","142.104.5.64","192.168.1.164","TCP","60","80  >  1201 [SYN, ACK] Seq=0 Ack=1 Win=17520 Len=0 MSS=1460"
"45","2.682672","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0"
"46","2.682800","192.168.1.164","142.104.5.64","HTTP","347","GET /assets/photos/president.jpg HTTP/1.1 "
"47","2.695080","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=1 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"48","2.696407","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=1461 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"49","2.696432","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=294 Ack=2921 Win=17520 Len=0"
"50","2.697782","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=2921 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"51","2.705228","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=4381 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"52","2.705273","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=294 Ack=5841 Win=17520 Len=0"
"53","2.706019","192.168.1.164","142.104.5.64","HTTP","340","GET /assets/images/up.gif HTTP/1.1 "
"54","2.706712","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=5841 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"55","2.708483","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=7301 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"56","2.708504","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=294 Ack=8761 Win=17520 Len=0"
"57","2.714155","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=8761 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"58","2.715583","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=10221 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"59","2.715607","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=294 Ack=11681 Win=17520 Len=0"
"60","2.717024","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=11681 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"61","2.719236","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=13141 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"62","2.719262","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=294 Ack=14601 Win=17520 Len=0"
"63","2.720672","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=14601 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"64","2.722483","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=16061 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"65","2.722567","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=294 Ack=17521 Win=17520 Len=0"
"66","2.723123","142.104.5.64","192.168.1.164","HTTP","453","HTTP/1.1 200 OK  (GIF89a)"
"67","2.725364","192.168.1.164","142.104.5.64","HTTP","344","GET /assets/images/bullet.gif HTTP/1.1 "
"68","2.730159","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=17521 Ack=294 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"69","2.732155","142.104.5.64","192.168.1.164","HTTP","816","HTTP/1.1 200 OK  (JPEG JFIF image)"
"70","2.732204","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=294 Ack=19743 Win=17520 Len=0"
"71","2.756852","142.104.5.64","192.168.1.164","TCP","60","80  >  1200 [ACK] Seq=32922 Ack=1433 Win=17230 Len=0"
"72","2.791051","142.104.5.64","192.168.1.164","HTTP","391","HTTP/1.1 200 OK  (GIF89a)"
"73","2.923682","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=1433 Ack=33259 Win=16294 Len=0"
"74","6.335747","192.168.1.164","142.104.5.64","HTTP","497","GET /staff/index.html HTTP/1.1 "
"75","6.348416","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=19743 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"76","6.349822","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=21203 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"77","6.349845","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=737 Ack=22663 Win=17520 Len=0"
"78","6.351262","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=22663 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"79","6.353071","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=24123 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"80","6.353105","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=737 Ack=25583 Win=17520 Len=0"
"81","6.354494","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=25583 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"82","6.356325","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=27043 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"83","6.356357","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=737 Ack=28503 Win=17520 Len=0"
"84","6.357701","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=28503 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"85","6.359442","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=29963 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"86","6.359469","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=737 Ack=31423 Win=17520 Len=0"
"87","6.360858","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=31423 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"88","6.362605","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=32883 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"89","6.362632","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=737 Ack=34343 Win=17520 Len=0"
"90","6.364021","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=34343 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"91","6.364054","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=737 Ack=35803 Win=17520 Len=0"
"92","6.365789","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [PSH, ACK] Seq=35803 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"93","6.368398","192.168.1.164","142.104.5.64","HTTP","354","GET /assets/headerphotos/staff-banner.jpg HTTP/1.1 "
"94","6.369903","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=37263 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"95","6.369927","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=737 Ack=38723 Win=17520 Len=0"
"96","6.371931","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=38723 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"97","6.373693","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=40183 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"98","6.373714","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=737 Ack=41643 Win=17520 Len=0"
"99","6.375121","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=41643 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"100","6.376856","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=43103 Ack=737 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"101","6.376879","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=737 Ack=44563 Win=17520 Len=0"
"102","6.378002","142.104.5.64","192.168.1.164","HTTP","1078","HTTP/1.1 200 OK  (text/html)"
"103","6.382278","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=33259 Ack=1733 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"104","6.383756","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=34719 Ack=1733 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"105","6.383777","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=1733 Ack=36179 Win=17520 Len=0"
"106","6.385203","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=36179 Ack=1733 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"107","6.386964","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=37639 Ack=1733 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"108","6.386990","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=1733 Ack=39099 Win=17520 Len=0"
"109","6.388367","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=39099 Ack=1733 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"110","6.390111","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=40559 Ack=1733 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"111","6.390137","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=1733 Ack=42019 Win=17520 Len=0"
"112","6.391000","142.104.5.64","192.168.1.164","HTTP","740","HTTP/1.1 200 OK  (JPEG JFIF image)"
"113","6.421515","192.168.1.164","142.104.5.64","HTTP","344","GET /assets/images/grey-bar.gif HTTP/1.1 "
"114","6.429602","142.104.5.64","192.168.1.164","HTTP","630","HTTP/1.1 200 OK  (GIF89a)"
"115","6.528564","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=1733 Ack=42705 Win=16834 Len=0"
"116","6.628682","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=1027 Ack=46163 Win=17520 Len=0"
"117","10.127886","192.168.1.164","142.104.5.64","HTTP","498","GET /academic/index.html HTTP/1.1 "
"118","10.146296","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=42705 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"119","10.148416","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=44165 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"120","10.148449","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2177 Ack=45625 Win=17520 Len=0"
"121","10.149881","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=45625 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"122","10.151705","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=47085 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"123","10.151734","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2177 Ack=48545 Win=17520 Len=0"
"124","10.153123","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=48545 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"125","10.155006","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=50005 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"126","10.155035","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2177 Ack=51465 Win=17520 Len=0"
"127","10.157862","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=51465 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"128","10.160256","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=52925 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"129","10.160292","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2177 Ack=54385 Win=17520 Len=0"
"130","10.162768","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=54385 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"131","10.164268","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=55845 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"132","10.164290","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2177 Ack=57305 Win=17520 Len=0"
"133","10.165682","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=57305 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"134","10.167034","192.168.1.164","142.104.5.64","HTTP","362","GET /assets/sectionheader-photos/faculties.jpg HTTP/1.1 "
"135","10.167507","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [PSH, ACK] Seq=58765 Ack=2177 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"136","10.167524","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2177 Ack=60225 Win=17520 Len=0"
"137","10.169855","142.104.5.64","192.168.1.164","HTTP","787","HTTP/1.1 200 OK  (text/html)"
"138","10.200026","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=46163 Ack=1335 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"139","10.202600","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=47623 Ack=1335 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"140","10.202627","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=1335 Ack=49083 Win=17520 Len=0"
"141","10.208745","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=49083 Ack=1335 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"142","10.210564","142.104.5.64","192.168.1.164","TCP","1514","80  >  1201 [ACK] Seq=50543 Ack=1335 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"143","10.210579","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=1335 Ack=52003 Win=17520 Len=0"
"144","10.211559","142.104.5.64","192.168.1.164","HTTP","1026","HTTP/1.1 200 OK  (JPEG JFIF image)"
"145","10.334044","192.168.1.164","142.104.5.64","TCP","54","1201  >  80 [ACK] Seq=1335 Ack=52975 Win=16548 Len=0"
"146","10.334087","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2177 Ack=60958 Win=16787 Len=0"
"147","22.154157","192.168.1.164","142.104.5.64","HTTP","505","GET /academic/faculties.html HTTP/1.1 "
"148","22.166927","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=60958 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"149","22.168423","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=62418 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"150","22.168450","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=63878 Win=17520 Len=0"
"151","22.169877","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=63878 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"152","22.171638","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=65338 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"153","22.171664","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=66798 Win=17520 Len=0"
"154","22.173079","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=66798 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"155","22.174899","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=68258 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"156","22.174925","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=69718 Win=17520 Len=0"
"157","22.176301","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=69718 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"158","22.177675","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=71178 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"159","22.177701","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=72638 Win=17520 Len=0"
"160","22.179460","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=72638 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"161","22.180836","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=74098 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"162","22.180861","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=75558 Win=17520 Len=0"
"163","22.182561","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=75558 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"164","22.182593","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=77018 Win=17520 Len=0"
"165","22.183977","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [PSH, ACK] Seq=77018 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"166","22.187916","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=78478 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"167","22.187944","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=79938 Win=17520 Len=0"
"168","22.190669","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=79938 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"169","22.200344","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=81398 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"170","22.200395","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=82858 Win=17520 Len=0"
"171","22.201832","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=82858 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"172","22.203571","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=84318 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"173","22.203590","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=85778 Win=17520 Len=0"
"174","22.204970","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [PSH, ACK] Seq=85778 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"175","22.206729","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=87238 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"176","22.206748","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=88698 Win=17520 Len=0"
"177","22.208128","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=88698 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"178","22.211518","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [ACK] Seq=90158 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"179","22.211540","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=91618 Win=17520 Len=0"
"180","22.213011","142.104.5.64","192.168.1.164","TCP","1514","80  >  1200 [PSH, ACK] Seq=91618 Ack=2628 Win=17520 Len=1460 [TCP segment of a reassembled PDU]"
"181","22.214485","142.104.5.64","192.168.1.164","TCP","989","80  >  1200 [PSH, ACK] Seq=93078 Ack=2628 Win=17520 Len=935 [TCP segment of a reassembled PDU]"
"182","22.214505","192.168.1.164","142.104.5.64","TCP","54","1200  >  80 [ACK] Seq=2628 Ack=94013 Win=17520 Len=0"
